date,open,high,low,close,volume
1677628800000,23129.9,23166,23125,23166,397.488
1677629100000,23166,23169.8,23111.4,23111.5,241.959
1677629400000,23111.5,23159,23110.1,23152,267.257
1677629700000,23152,23179.1,23152,23176.3,251.057
1677630000000,23176.3,23208.1,23167.3,23198.7,366.344
1677630300000,23198.7,23198.7,23161.9,23162,180.727
1677630600000,23162,23206.7,23161.9,23186.1,175.442
1677630900000,23186.1,23196.4,23172.5,23173.2,99.081
1677631200000,23173.2,23183.1,23136,23136.8,211.513
1677631500000,23136.8,23139,23083,23085.6,543.588
1677631800000,23085.6,23090.1,23015.1,23022.5,1814.348
1677632100000,23022.5,23105,23015,23096.7,859.86
1677632400000,23096.7,23113,23071.2,23103.4,334.436
1677632700000,23103.4,23133.5,23092,23111.5,240.796
1677633000000,23111.5,23157.9,23111.4,23153.7,312.354
1677633300000,23153.7,23156.3,23125.6,23127.1,258.372
1677633600000,23127.1,23142.3,23120.9,23139.1,185.353
1677633900000,23139.1,23144,23126.4,23144,146.923
1677634200000,23144,23260.5,23144,23256.8,1725.303
1677634500000,23256.8,23269.1,23207.4,23240.5,532.282
1677634800000,23240.5,23240.5,23208,23230,277.271
1677635100000,23230,23245,23221.9,23241.8,380.311
1677635400000,23241.8,23292,23237,23250.5,595.802
1677635700000,23250.5,23258.7,23229.5,23238.1,345.79
1677636000000,23238.1,23252,23229.9,23231.1,206.331
1677636300000,23231.1,23236.7,23230.5,23232.2,78.815
1677636600000,23232.2,23252,23232.2,23250.1,139.937
1677636900000,23250.1,23275.2,23250.1,23275,261.091
1677637200000,23275,23278.5,23241.5,23241.6,174.544
1677637500000,23241.6,23259,23236.4,23239.3,101.75
1677637800000,23239.3,23254.7,23232.4,23254.7,113.629
1677638100000,23254.7,23287.9,23254.7,23267.3,674.554
1677638400000,23267.3,23307.6,23267.3,23285.1,375.33
1677638700000,23285.1,23300,23284.9,23286.1,291.945
1677639000000,23286.1,23300,23286,23296.3,138.947
1677639300000,23296.3,23323.2,23294.8,23320.8,458.538
1677639600000,23320.8,23323.8,23301,23318,223.56
1677639900000,23318,23363.1,23311.9,23312,1239.943
1677640200000,23312,23435,23300,23429.8,1741.172
1677640500000,23429.8,23485,23403,23407.9,2388.809
1677640800000,23407.9,23440.5,23377.4,23416.8,1104.09
1677641100000,23416.8,23457,23401.4,23412,419.433
1677641400000,23412,23465,23410.4,23453.7,400.362
1677641700000,23453.7,23472.7,23443.2,23443.3,306.719
1677642000000,23443.3,23470,23433.1,23466.5,292.109
1677642300000,23466.5,23470.3,23409.3,23417.8,393.081
1677642600000,23417.8,23430,23395.1,23410.6,315.331
1677642900000,23410.6,23436.7,23410,23429.7,164.79
1677643200000,23429.7,23440,23422.1,23422.1,151.06
1677643500000,23422.1,23428.3,23418.9,23419.1,141.373
1677643800000,23419.1,23422.6,23413.7,23413.7,102.335
1677644100000,23413.7,23455,23413.7,23428.1,217.62
1677644400000,23428.1,23461.6,23428,23453.7,267.577
1677644700000,23453.7,23465.2,23449.7,23454.9,144.512
1677645000000,23454.9,23481.9,23454.9,23462.3,270.221
1677645300000,23462.3,23521,23462.3,23489.5,1277.556
1677645600000,23489.5,23511,23474.5,23474.5,334.492
1677645900000,23474.5,23751.8,23474.5,23711.1,5071.817
1677646200000,23711.1,23817.3,23703.3,23803.1,4343.685
1677646500000,23803.1,23838,23754.7,23778.7,2121.3
1677646800000,23778.7,23818,23747.7,23765.9,1339.605
1677647100000,23765.9,23786,23756,23756,697.143
1677647400000,23756,23771,23725,23725.1,805.947
1677647700000,23725.1,23750,23675,23678.5,1194.293
1677648000000,23678.5,23700,23645,23667.5,1106.317
1677648300000,23667.5,23694.1,23647.9,23677.7,838.854
1677648600000,23677.7,23693.1,23665.1,23669.1,423.072
1677648900000,23669.1,23698,23630.6,23696.1,857.676
1677649200000,23696.1,23713.9,23654.5,23672,624.112
1677649500000,23672,23683.9,23652.2,23660.5,368.241
1677649800000,23660.5,23693,23660.5,23680.4,167.608
1677650100000,23680.4,23692.6,23669.9,23682.7,319.068
1677650400000,23682.7,23698,23670,23670,220.628
1677650700000,23670,23680,23662,23671.6,178.301
1677651000000,23671.6,23741.4,23671.6,23700.4,508.121
1677651300000,23700.4,23714,23690,23692.5,266.219
1677651600000,23692.5,23707.7,23682,23707.7,167.73
1677651900000,23707.7,23725,23695.7,23720.5,204.516
1677652200000,23720.5,23779.2,23698.3,23750.1,1322.976
1677652500000,23750.1,23772.2,23719.2,23750.1,832.64
1677652800000,23750.1,23787.7,23750,23772.2,867.516
1677653100000,23772.2,23789.1,23700.8,23709.3,923.211
1677653400000,23709.3,23817.6,23708.4,23734.9,2476.452
1677653700000,23734.9,23770,23734.9,23748.2,340.353
1677654000000,23748.2,23748.3,23716,23724.1,605.564
1677654300000,23724.1,23724.2,23680.1,23716.8,691.571
1677654600000,23716.8,23758,23714,23741,509.638
1677654900000,23741,23749.7,23706,23712.5,348.831
1677655200000,23712.5,23728,23710,23720.1,238.383
1677655500000,23720.1,23741.5,23716.3,23716.3,262.533
1677655800000,23716.3,23728.1,23703,23708.3,298.361
1677656100000,23708.3,23708.3,23688.3,23692.6,238.179
1677656400000,23692.6,23713.9,23692.6,23713.2,111.817
1677656700000,23713.2,23727.6,23701.3,23702.1,132.362
1677657000000,23702.1,23718,23702,23710.8,122.493
1677657300000,23710.8,23716.5,23702.2,23707.9,206.326
1677657600000,23707.9,23728.6,23684.7,23723,367.027
1677657900000,23723,23754.1,23715.2,23738.6,467.12
1677658200000,23738.6,23783.8,23738.6,23767.5,640.58
1677658500000,23767.5,23777,23740,23765,324.801
1677658800000,23765,23781.9,23758.4,23766.7,261.469
1677659100000,23766.7,23771.6,23731.6,23734,409.458
1677659400000,23734,23748,23722.2,23746.8,223.634
1677659700000,23746.8,23765,23728.8,23753.7,236
1677660000000,23753.7,23760.6,23742.6,23753,205.498
1677660300000,23753,23766.4,23747.2,23754.4,132.579
1677660600000,23754.4,24028.4,23754,23954.6,6438.518
1677660900000,23954.6,24003.4,23850,23866.6,3153.103
1677661200000,23866.6,23904,23802.3,23844.2,1587.311
1677661500000,23844.2,23845,23810.5,23826.4,563.41
1677661800000,23826.4,23849.7,23825.3,23849.6,396.485
1677662100000,23849.6,23849.8,23818.7,23828.2,287.846
1677662400000,23828.2,23840.5,23750.1,23772,1054.187
1677662700000,23772,23787.5,23762,23779.9,410.004
1677663000000,23779.9,23798.6,23757.2,23795.3,490.898
1677663300000,23795.3,23814.1,23795.2,23800,467.449
1677663600000,23800,23802.8,23743.1,23753.6,682.583
1677663900000,23753.6,23760,23717.7,23741.4,1017.867
1677664200000,23741.4,23759.3,23736.2,23759.3,317.764
1677664500000,23759.3,23773.9,23744.6,23750.1,622.298
1677664800000,23750.1,23759.1,23729.7,23733.3,308.324
1677665100000,23733.3,23740,23726,23726,261.026
1677665400000,23726,23743.5,23700,23726.2,649.254
1677665700000,23726.2,23729,23701.7,23708.7,240.064
1677666000000,23708.7,23708.8,23659.4,23708.8,1384.795
1677666300000,23708.8,23728.4,23701.7,23718.7,345.219
1677666600000,23718.7,23732.8,23712,23723.6,353.019
1677666900000,23723.6,23755.7,23723.5,23749.4,433.285
1677667200000,23749.4,23762.9,23741,23753,386.172
1677667500000,23753,23758.6,23735.2,23744.9,201.27
1677667800000,23744.9,23759.2,23737.7,23759.2,146.421
1677668100000,23759.2,23780.8,23759.1,23775.2,336.967
1677668400000,23775.2,23782.6,23762.2,23762.2,346.491
1677668700000,23762.2,23780.7,23762.2,23775,137.747
1677669000000,23775,23784,23774.9,23780.1,226.057
1677669300000,23780.1,23780.1,23763.4,23778,256.733
1677669600000,23778,23781.6,23754,23754,295.091
1677669900000,23754,23754.1,23731.3,23737.5,780.953
1677670200000,23737.5,23756.9,23735.1,23749.5,181.167
1677670500000,23749.5,23749.6,23718,23727.2,487.068
1677670800000,23727.2,23736.6,23718.2,23736.6,203.589
